Achievements,Action,Active sport,Adrenaline sports,Age,Ageing,Alcohol,Alternative,Animated,Appearence and gestures,Art exhibitions,Assertiveness,Biology,Borrowed stuff,Branded clothing,Fear_index,Calculation_973340536937771011,Loneliness2,Number of friends 2,Happiness in life2,Cars,Celebrities,Changing the past,Charity,Cheating in school,Chemistry,Children,Classical music,Comedy,Compassion to animals,Country,"Countryside, outdoors",Criminal damage,Daily events,Dance,Dancing,Dangerous dogs,Darkness,Decision making,Documentary,Dreams,Eating to survive (group),Eating to survive,Economy Management,Education,Elections,Empathy,Energy levels,Entertainment spending (group),Entertainment spending,Fake,Fantasy/Fairy tales,Fear of public speaking,Final judgement,Finances,Finding lost valuables,Flying,Folk,Foreign languages,Friends versus money,Fun with friends,Funniness,Gardening,Gender,Geography,Getting angry,Getting up,Giving (group),Giving,God (group) 1,God (group),God2 (group),God,Happiness in life (group),Happiness in life2 (group),Happiness in life,Health,Healthy eating,Height,Heights,"Hiphop, Rap",History,Horror,House - block of flats,Hypochondria,Interests or hobbies (group),Interests or hobbies,Internet usage,Internet,Judgment calls,Keeping promises,Knowing the right people,Latino,Law,Left - right handed,Life struggles,Loneliness (group),Loneliness2 (group),Loneliness,Loss of interest,Lying,Mathematics,Medicine,Metal or Hardrock,Mood swings,Movies,Music,Musical instruments,Musical,New environment,Number of Records,Number of friends (group),Number of friends 2 (group),Number of friends,Number of siblings,Only child,Opera,PC,Parents' advice,Passive sport,Personality,Pets,Physics,Politics,Pop,Prioritising workload,Psychology,Public speaking,Punctuality,Punk,Questionnaires or polls,Rats,Reading,"Reggae, Ska",Reliability,Religion,Responding to a serious letter,Rock n roll,Rock,Romantic,Sci-fi,Science and technology,Self-criticism,Shopping centres,Shopping,Slow songs or fast songs,Small - big dogs,Smoking,Snakes,Socializing,Spending on gadgets,Spending on healthy eating (group),Spending on healthy eating,Spending on looks,Spiders,Storm,"Swing, Jazz","Techno, Trance",Theatre,Thinking ahead,Thriller,Unpopularity,Village - town,Waiting,War,Weight,Western,Workaholism,Writing notes,Writing
2,3,3,3,24,4,social drinker,2,3,3,1,4,2,4,4,29,not believing god,not lonely,neutral,very happy,3,5,2,3,2,2,5,1,4,5,3,3,1,3,2,3,5,3,2,2,4,Other,4,2,college/bachelor degree,5,4,4,not be social,2,1,4,3,1,4,4,2,3,2,3,4,2,2,female,3,3,1,give more,4,Other,not believe in god,Other,2,Other,Other,4,4,3,169,2,4,1,4,house/bungalow,2,few interests,2,most of the day,5,4,4,4,4,2,right handed,4,2,Other,2,4,only to avoid hurting someone,3,2,1,3,4,5,3,4,4,1,Other,Other,3,1,no,2,3,4,4,3,3,2,3,5,2,4,3,i am always on time,1,3,2,3,3,3,1,3,2,5,3,1,3,3,4,4,4,3,former smoker,4,3,2,neutral,3,3,2,2,3,1,3,4,5,3,city,3,2,53,1,2,3,3
4,3,1,2,25,2,social drinker,1,5,4,3,4,2,4,3,35,neutral,neutral,lots of friends,neutral,2,4,3,1,4,2,5,3,5,3,3,4,3,3,3,5,5,3,3,1,3,Other,3,2,secondary school,5,4,4,n,3,2,5,4,2,3,3,4,3,1,4,5,4,3,female,2,5,5,give more,5,Other,n,Other,3,3,Other,3,5,3,165,2,2,3,2,house/bungalow,2,neutral,3,most of the day,5,4,4,4,3,2,right handed,5,3,Other,3,4,sometimes,2,2,2,4,5,5,2,5,2,1,4,Other,4,1,no,2,3,4,3,3,2,2,2,5,3,3,5,i am always on time,1,3,3,5,2,4,2,4,3,4,5,2,2,3,5,5,3,1,never smoked,3,2,3,eat unhealthy,2,3,4,5,2,3,5,2,3,3,city,3,5,75,1,2,2,3
3,3,1,1,29,5,social drinker,3,5,3,2,4,1,5,1,21,neutral,not lonely,neutral,neutral,1,1,3,1,5,1,2,5,4,5,2,2,1,3,1,1,1,5,2,5,3,1,1,1,college/bachelor degree,5,3,3,n,3,1,5,2,4,4,1,2,1,5,4,5,3,1,female,3,3,5,neutral,3,Other,n,Other,3,3,Other,3,3,3,170,1,1,5,1,house/bungalow,2,many interests,5,most of the day,3,5,5,3,2,1,right handed,2,Other,Other,1,2,everytime it suits me,1,1,3,3,5,5,3,1,3,1,Other,Other,3,1,no,5,3,3,2,3,5,1,1,3,5,1,3,i am often early,2,1,1,5,3,5,1,1,5,5,2,1,1,2,1,1,3,3,current smoker,1,2,3,neutral,3,3,1,2,2,1,5,4,3,3,city,2,1,58,4,3,5,1
4,2,3,3,19,5,,1,3,4,4,5,1,5,5,31,not believing god,not lonely,lots of friends,very happy,1,4,4,2,3,1,3,4,4,4,1,4,1,1,2,2,4,3,2,,4,1,1,4,secondary school,5,4,4,be social,5,1,2,3,1,4,1,1,1,4,3,5,5,2,female,5,5,5,neutral,3,Other,not believe in god,Other,2,Other,Other,4,4,3,168,1,1,5,4,house/bungalow,2,many interests,4,few hours a day,5,5,4,5,3,5,right handed,4,Other,Other,1,3,sometimes,2,2,3,3,5,4,1,2,4,1,4,Other,4,1,no,2,4,4,5,4,1,1,5,2,3,3,2,i am often early,3,5,5,5,2,4,3,4,3,5,2,3,4,4,5,5,2,4,,4,4,5,eat healthy,5,5,4,1,2,3,4,4,5,3,village,3,4,66,1,4,4,4
3,4,2,2,18,5,,4,3,4,5,5,2,2,5,30,blieving god,very lonely,neutral,neutral,1,4,2,1,5,1,2,2,3,2,1,3,5,5,3,1,3,2,4,2,3,1,1,2,primary school,1,5,4,be social,4,2,3,2,3,1,3,5,2,5,3,5,2,2,female,2,4,5,give less,1,Other,believe in god,blieving god,5,3,Other,3,3,3,172,1,4,2,1,house/bungalow,1,few interests,1,few hours a day,5,5,2,5,3,2,right handed,2,5,very lonely,5,5,everytime it suits me,2,3,3,3,5,5,5,2,2,1,Other,Other,3,3,no,1,,1,4,2,2,1,5,4,1,4,4,i am often running late,3,2,4,5,5,3,3,1,4,4,4,2,3,3,4,5,3,3,current smoker,4,5,2,eat unhealthy,2,4,2,2,4,1,3,4,2,5,village,2,3,55,1,2,2,3
3,2,5,4,18,4,drink a lot,5,4,4,2,3,4,3,3,38,blieving god,not lonely,no friends,neutral,2,2,3,4,5,1,4,3,3,4,5,5,2,2,3,2,5,3,2,4,3,Other,2,3,secondary school,3,5,3,be social,4,3,5,4,1,3,3,4,2,4,2,4,3,1,female,4,2,3,give less,2,Other,believe in god,blieving god,5,3,Other,3,4,4,167,4,2,3,3,house/bungalow,3,many interests,5,few hours a day,2,3,3,5,3,2,right handed,2,2,Other,2,4,everytime it suits me,1,2,3,2,5,5,1,3,1,1,Other,no friends,2,1,no,4,1,4,4,3,5,1,3,4,3,3,3,i am always on time,2,2,4,3,4,3,4,2,5,5,4,2,3,3,3,5,3,2,tried smoking,5,4,2,eat healthy,4,4,3,2,3,1,2,3,5,2,village,2,5,57,4,2,2,1
2,2,2,3,20,1,drink a lot,3,4,5,5,2,4,3,2,27,not believing god,neutral,no friends,neutral,1,3,1,1,5,1,4,4,4,4,1,4,5,1,3,2,4,3,5,3,2,1,1,1,secondary school,2,4,2,n,3,2,4,2,1,1,1,1,3,5,5,5,2,2,female,4,3,4,give less,2,Other,not believe in god,Other,2,3,Other,3,3,3,158,3,3,4,2,house/bungalow,4,many interests,4,few hours a day,3,4,4,2,4,1,right handed,5,3,Other,3,4,sometimes,1,3,3,4,5,5,5,4,2,1,Other,no friends,2,1,no,4,2,3,5,3,1,1,1,4,3,3,3,i am always on time,3,4,4,4,3,5,3,2,5,5,4,1,2,4,4,4,3,1,tried smoking,3,4,1,eat healthy,4,2,4,2,5,1,5,2,2,2,village,4,3,55,2,2,5,2
3,4,1,3,19,5,drink a lot,3,4,4,2,3,2,5,2,27,not believing god,very lonely,neutral,neutral,1,3,4,2,5,1,5,2,5,3,1,3,3,2,3,2,3,2,1,2,3,Other,2,2,secondary school,5,4,3,n,3,2,5,4,2,4,2,1,1,5,5,5,3,2,female,2,5,3,give less,2,Other,not believe in god,Other,2,3,Other,3,2,2,168,3,2,4,2,house/bungalow,1,neutral,3,few hours a day,5,3,4,4,4,4,right handed,4,4,very lonely,4,3,sometimes,1,2,1,5,5,5,1,3,4,1,Other,Other,3,2,no,1,3,4,3,3,1,1,3,4,1,4,4,i am always on time,1,4,4,5,3,4,1,5,3,3,5,5,2,3,2,2,3,3,tried smoking,3,2,4,eat unhealthy,2,2,1,1,4,3,4,3,3,1,village,2,2,57,1,1,1,1
4,3,3,4,23,3,drink a lot,4,4,2,3,4,3,5,3,39,neutral,neutral,lots of friends,very happy,2,3,5,2,2,4,2,4,3,5,2,4,1,3,4,4,5,5,5,3,2,Other,2,3,college/bachelor degree,3,4,2,n,3,3,4,4,2,5,2,2,2,5,4,4,4,1,female,4,5,3,give less,2,Other,n,Other,3,Other,Other,4,4,4,165,3,4,4,2,house/bungalow,4,neutral,3,few hours a day,5,5,4,3,4,3,right handed,2,3,Other,3,4,sometimes,2,3,3,4,5,5,2,3,3,1,4,Other,4,1,no,3,4,2,1,3,5,3,2,4,4,5,4,i am often early,2,3,5,3,3,4,2,3,4,3,3,2,4,5,3,3,3,3,current smoker,5,1,3,neutral,3,4,5,2,3,5,2,3,4,3,village,1,3,45,2,3,2,1
3,3,1,1,18,1,drink a lot,3,5,3,2,2,3,2,3,33,blieving god,very lonely,no friends,very happy,3,1,5,1,5,5,4,2,5,4,1,4,1,2,3,1,3,2,1,2,3,1,1,4,college/bachelor degree,5,1,3,be social,4,2,5,5,5,1,3,3,2,4,5,5,5,1,female,3,4,4,give more,5,Other,believe in god,blieving god,5,Other,Other,4,2,2,162,2,1,2,1,house/bungalow,3,few interests,1,few hours a day,5,3,4,5,2,4,right handed,3,4,very lonely,4,4,sometimes,5,1,5,4,5,5,2,4,1,1,Other,no friends,2,1,no,2,2,2,5,3,4,2,3,3,1,2,5,i am often early,5,3,3,2,5,3,5,3,4,5,4,4,4,5,3,3,5,2,tried smoking,5,2,4,eat healthy,4,4,4,5,4,4,3,2,2,4,village,3,2,50,1,4,4,1
3,1,1,5,19,5,drink a lot,3,5,5,1,4,5,2,5,41,blieving god,very lonely,neutral,neutral,1,5,3,1,5,5,5,1,5,4,1,3,5,2,3,3,5,5,5,4,3,1,1,2,secondary school,5,5,3,be social,5,1,5,2,3,1,1,1,1,5,3,5,3,1,female,1,5,5,give more,5,4,believe in god,blieving god,4,3,Other,3,5,2,173,3,4,1,5,house/bungalow,1,few interests,1,few hours a day,5,5,5,5,3,3,right handed,5,5,very lonely,5,5,everytime it suits me,1,5,1,5,5,5,1,1,5,1,Other,Other,3,1,no,1,1,3,5,3,1,1,1,5,1,5,4,i am often running late,2,1,5,5,2,5,1,4,5,5,4,1,1,5,5,5,3,5,current smoker,5,4,1,neutral,3,5,5,5,1,3,4,5,5,5,village,1,3,69,1,3,5,1
2,4,4,3,19,3,drink a lot,3,4,5,3,4,2,3,4,31,blieving god,not lonely,lots of friends,very happy,2,3,5,2,5,2,2,5,4,4,4,4,4,4,2,5,4,3,2,4,3,Other,2,5,secondary school,5,5,5,not be social,2,2,4,2,2,3,2,2,5,5,4,5,2,1,female,4,3,5,give less,2,Other,believe in god,blieving god,5,Other,Other,4,4,3,173,2,4,4,1,house/bungalow,2,many interests,5,few hours a day,4,4,4,4,5,1,right handed,3,2,Other,2,4,only to avoid hurting someone,3,2,1,4,4,5,1,5,4,1,4,Other,4,1,no,3,2,4,5,4,4,1,4,5,3,4,3,i am often running late,3,3,2,5,3,4,3,2,3,3,4,4,3,4,5,5,2,4,tried smoking,5,4,2,neutral,3,4,5,3,3,2,3,3,3,2,village,3,4,63,2,3,4,1
5,2,1,3,19,3,drink a lot,3,4,5,2,1,1,4,3,27,not believing god,not lonely,lots of friends,very happy,3,3,5,2,3,1,3,2,5,5,2,4,3,3,4,1,5,2,5,3,3,1,1,5,secondary school,5,4,4,be social,4,3,4,2,2,2,5,1,2,5,5,5,5,1,female,1,3,5,give more,5,Other,not believe in god,Other,2,Other,Other,5,4,3,168,3,4,3,3,house/bungalow,2,neutral,3,few hours a day,2,3,5,5,2,4,right handed,2,2,Other,2,5,sometimes,4,1,1,3,5,5,1,2,4,1,Other,Other,5,1,no,2,1,3,3,3,4,1,3,4,5,3,4,i am often running late,1,3,2,4,1,5,1,4,4,4,4,3,3,5,4,5,3,1,current smoker,3,5,4,eat healthy,4,4,3,3,2,3,4,5,4,3,village,2,3,49,2,5,5,1
4,2,5,5,19,2,drink a lot,2,3,5,4,5,5,5,4,30,blieving god,neutral,lots of friends,very happy,1,2,1,1,5,5,5,5,3,4,3,1,2,2,5,5,4,5,5,5,3,Other,4,2,college/bachelor degree,1,4,5,be social,5,2,2,4,1,4,3,1,3,5,5,5,2,1,female,3,1,5,neutral,3,Other,believe in god,blieving god,5,Other,Other,5,3,3,159,2,5,2,1,house/bungalow,2,many interests,4,few hours a day,4,5,4,4,5,1,right handed,2,3,Other,3,2,sometimes,1,5,1,2,5,5,1,5,5,1,Other,Other,5,3,no,3,1,3,4,3,4,4,1,2,3,4,5,i am often running late,2,1,4,3,5,2,5,3,3,3,5,1,5,5,4,4,3,3,former smoker,4,2,2,eat healthy,4,4,2,2,5,5,4,1,3,3,village,2,5,52,3,5,4,1
3,5,5,5,30,4,drink a lot,3,3,3,1,5,1,2,1,21,not believing god,neutral,lots of friends,neutral,5,1,3,1,5,1,1,1,5,1,1,5,1,1,5,1,2,1,2,4,3,Other,3,1,secondary school,1,2,5,be social,5,3,2,3,1,1,4,4,1,2,4,5,5,1,female,3,3,4,give less,1,Other,not believe in god,Other,1,3,Other,3,1,1,173,3,1,2,4,house/bungalow,1,neutral,3,less than an hour a day,3,4,2,4,1,1,right handed,1,3,Other,3,5,everytime it suits me,1,1,3,4,5,4,1,1,,1,Other,Other,5,1,no,1,2,1,5,4,2,2,1,4,1,1,2,i am often running late,2,1,1,1,1,4,1,3,5,5,1,2,5,1,1,1,5,5,current smoker,1,5,2,eat unhealthy,2,3,1,1,1,4,1,2,4,3,village,2,5,72,2,1,1,1
3,3,5,3,30,2,drink a lot,3,3,5,4,5,3,4,3,23,neutral,very lonely,neutral,neutral,3,1,1,3,5,3,3,4,5,3,2,5,3,5,3,5,1,4,2,3,3,1,1,3,masters degree,5,5,4,n,3,2,5,1,5,3,1,2,2,5,5,5,3,2,female,5,5,5,give less,1,Other,n,Other,3,3,Other,3,3,5,168,5,5,5,1,house/bungalow,1,many interests,5,most of the day,5,5,4,5,5,3,right handed,5,5,very lonely,5,4,sometimes,1,4,5,3,3,5,5,5,5,1,Other,Other,3,2,no,3,5,3,2,3,1,1,5,5,5,5,1,i am often early,1,3,1,5,2,5,3,1,3,5,5,1,3,2,3,3,5,5,former smoker,1,5,1,eat healthy,5,3,1,5,3,5,5,5,1,3,village,3,3,54,3,5,5,5
3,5,5,4,19,1,drink a lot,,2,3,2,5,5,1,3,26,blieving god,not lonely,lots of friends,very happy,5,5,5,3,5,3,5,1,5,5,1,5,5,4,5,5,3,5,1,3,3,Other,5,2,secondary school,3,5,5,be social,5,3,5,1,5,1,1,1,2,3,3,5,5,1,female,2,5,5,give more,5,Other,believe in god,blieving god,5,Other,Other,4,1,1,186,1,,1,5,house/bungalow,5,many interests,5,most of the day,5,5,3,5,1,4,right handed,5,Other,Other,1,1,everytime it suits me,1,5,,5,5,5,2,1,5,1,Other,Other,5,3,no,1,5,3,5,3,1,3,2,1,1,5,1,i am often running late,,3,5,1,,3,5,3,,1,5,5,5,5,5,5,5,1,current smoker,5,5,5,neutral,3,5,3,1,,1,1,1,1,1,village,1,1,66,1,1,3,1
3,5,1,1,26,3,never,1,5,3,1,5,1,5,2,31,blieving god,not lonely,lots of friends,very happy,5,2,1,2,5,1,5,1,2,5,2,3,3,2,3,1,5,3,3,4,4,1,1,2,college/bachelor degree,3,5,4,n,3,1,5,1,5,4,5,1,3,2,5,4,1,4,female,1,3,4,give more,5,Other,believe in god,blieving god,5,Other,Other,4,3,3,168,3,4,3,3,house/bungalow,1,neutral,3,few hours a day,5,4,5,1,4,1,right handed,2,2,Other,2,2,only to avoid hurting someone,1,1,2,3,5,5,1,1,5,1,4,Other,4,3,no,1,2,3,2,4,5,1,1,1,1,3,1,i am always on time,1,2,5,5,2,5,3,5,2,4,5,1,1,4,3,2,3,1,current smoker,5,3,2,eat healthy,4,3,2,3,1,1,1,2,3,3,village,1,4,65,1,2,5,1
2,3,1,5,16,3,never,4,3,3,5,5,4,3,1,24,not believing god,neutral,neutral,very happy,3,2,3,2,2,3,5,3,3,5,1,5,2,2,1,3,2,2,3,4,3,Other,2,2,primary school,3,4,4,n,3,1,3,1,3,,5,1,2,5,5,4,3,1,female,5,4,3,give less,2,Other,not believe in god,Other,2,Other,Other,4,5,3,160,2,3,5,4,house/bungalow,2,many interests,4,few hours a day,2,5,3,3,1,2,right handed,4,3,Other,3,1,sometimes,1,5,5,3,5,5,5,3,4,1,Other,Other,3,1,no,2,2,2,2,4,5,1,5,1,3,5,3,i am always on time,5,3,3,5,3,4,3,2,2,5,5,5,3,3,1,1,4,3,former smoker,5,3,2,eat healthy,4,3,2,3,4,1,5,1,5,2,village,4,5,49,2,3,1,1
3,2,4,1,20,1,never,2,4,3,1,4,5,5,1,17,blieving god,very lonely,lots of friends,very happy,1,2,5,3,4,4,5,4,5,2,3,5,1,4,2,2,4,1,4,4,3,Other,2,2,secondary school,5,5,4,not be social,1,1,5,3,2,4,4,1,3,5,4,4,3,1,female,3,1,3,give less,1,Other,believe in god,blieving god,5,Other,Other,4,3,1,168,1,3,2,1,house/bungalow,1,neutral,3,few hours a day,3,5,5,2,3,1,right handed,,4,very lonely,4,5,sometimes,1,5,1,2,5,5,5,5,5,1,4,Other,4,4,no,2,1,5,2,3,3,1,2,2,2,3,5,i am always on time,1,5,2,5,3,5,5,5,4,1,5,1,2,4,1,3,3,3,never smoked,2,5,1,eat unhealthy,1,1,1,1,4,1,2,5,2,5,village,5,3,50,3,1,2,3
4,1,1,2,24,5,never,3,5,3,,4,5,5,3,35,blieving god,not lonely,neutral,very happy,3,3,3,3,3,4,3,3,4,5,1,5,2,3,3,2,5,2,5,4,3,Other,2,2,masters degree,5,5,4,not be social,2,3,4,1,3,5,5,4,2,5,4,5,4,3,female,2,4,4,neutral,3,Other,believe in god,blieving god,5,Other,Other,4,4,3,163,4,1,2,4,house/bungalow,5,neutral,3,few hours a day,4,5,4,4,3,3,right handed,4,2,Other,2,2,everytime it suits me,1,5,3,4,4,5,1,3,2,1,Other,Other,3,1,no,3,4,3,3,3,5,2,2,5,5,4,5,i am often early,3,3,3,4,3,4,4,2,3,4,1,1,5,3,3,4,2,1,tried smoking,5,2,2,eat healthy,4,2,2,4,3,2,3,3,5,4,village,3,1,67,1,5,4,2
2,5,3,1,20,1,never,2,5,3,4,3,3,4,4,28,blieving god,not lonely,lots of friends,very happy,1,3,1,2,2,1,5,2,5,4,2,4,1,3,2,1,3,3,2,2,3,Other,2,1,secondary school,1,4,4,n,3,2,4,3,3,3,4,1,2,5,4,5,3,2,female,3,2,5,give less,2,Other,believe in god,blieving god,5,Other,Other,4,1,4,173,3,1,1,4,house/bungalow,1,many interests,4,few hours a day,5,3,5,3,4,1,right handed,2,Other,Other,1,1,never,1,3,1,3,5,5,3,4,4,1,4,Other,4,1,no,3,4,4,4,4,3,1,1,4,4,5,4,i am often early,1,4,3,2,1,5,5,4,2,3,5,4,4,2,5,4,3,4,never smoked,4,4,4,eat healthy,5,4,5,2,3,1,4,4,4,3,village,3,1,,1,4,5,1
4,4,4,2,28,4,never,3,4,5,2,2,4,4,,35,blieving god,not lonely,neutral,very happy,3,3,4,1,5,2,5,3,5,4,4,5,2,3,3,5,4,5,3,4,3,Other,2,3,masters degree,5,4,3,n,3,3,5,2,4,4,4,1,4,4,3,4,2,4,female,5,3,2,give more,5,Other,believe in god,blieving god,5,Other,Other,4,5,3,168,4,1,3,1,house/bungalow,2,many interests,4,few hours a day,5,5,4,4,5,1,right handed,4,2,Other,2,2,sometimes,1,5,1,4,5,5,1,4,3,1,Other,Other,3,1,no,3,2,4,4,4,2,1,2,1,5,2,3,i am often early,1,4,5,4,2,4,3,4,4,2,5,1,4,4,4,4,2,2,never smoked,5,3,2,eat healthy,4,3,2,3,3,1,3,3,2,3,village,3,3,55,4,5,3,2
2,4,1,1,18,2,never,1,2,4,1,4,2,5,1,29,blieving god,very lonely,no friends,neutral,5,4,3,1,3,1,4,1,4,5,1,4,1,3,2,1,2,2,5,4,3,Other,3,3,secondary school,2,5,3,not be social,1,4,4,4,3,3,3,3,2,2,5,2,2,2,female,2,2,3,neutral,3,4,believe in god,blieving god,4,3,Other,3,5,2,165,4,1,2,1,house/bungalow,5,few interests,2,few hours a day,5,4,4,2,4,1,right handed,5,4,very lonely,4,1,sometimes,5,1,2,3,4,5,1,3,3,1,Other,no friends,1,3,no,1,5,4,1,3,5,2,2,5,1,2,3,i am often early,1,2,3,1,1,4,1,4,2,3,5,2,3,4,1,3,3,3,never smoked,5,1,1,eat unhealthy,1,2,3,1,1,1,2,5,2,5,village,4,2,55,1,1,3,1
3,4,4,2,18,3,never,3,5,4,3,5,2,5,3,24,blieving god,not lonely,lots of friends,very happy,2,2,1,2,2,2,5,4,5,5,1,5,1,3,5,5,5,1,2,3,4,Other,2,3,secondary school,2,5,5,n,3,2,5,1,3,2,4,3,2,5,5,5,3,3,female,3,1,4,neutral,3,Other,believe in god,blieving god,5,Other,Other,5,1,3,154,2,2,3,1,house/bungalow,1,many interests,5,few hours a day,4,5,5,3,5,3,right handed,5,2,Other,2,2,sometimes,4,5,3,3,5,5,5,5,3,1,Other,Other,5,1,no,3,4,3,1,3,5,3,3,4,3,3,1,i am often early,2,3,2,5,2,5,5,3,2,5,5,,3,1,4,4,3,1,never smoked,2,3,3,eat healthy,5,3,4,1,3,3,5,5,4,5,village,5,3,67,2,4,4,5
2,3,5,5,24,5,never,3,5,3,5,4,5,5,1,25,not believing god,not lonely,neutral,very happy,1,1,1,4,1,5,5,1,5,5,4,5,1,1,4,,3,1,5,5,3,Other,3,4,college/bachelor degree,3,5,5,not be social,2,1,5,4,1,4,5,1,2,5,4,5,2,5,female,5,2,4,give more,4,Other,not believe in god,Other,1,Other,Other,5,3,4,148,1,4,2,3,house/bungalow,1,many interests,5,few hours a day,4,5,5,2,5,1,right handed,5,2,Other,2,1,never,3,4,1,3,5,4,2,5,4,1,Other,Other,3,1,no,2,4,4,1,3,3,1,1,5,3,5,4,i am often running late,1,2,3,5,5,5,1,3,5,3,4,2,5,4,1,2,4,4,never smoked,3,4,3,eat healthy,5,2,3,1,5,4,5,5,3,5,village,4,3,57,3,5,5,3
1,5,2,5,21,1,never,3,5,4,1,5,1,5,3,21,blieving god,very lonely,lots of friends,neutral,1,2,4,2,5,1,5,2,5,5,5,4,1,1,5,2,5,1,1,3,4,Other,4,4,college/bachelor degree,2,5,3,be social,5,3,5,2,3,1,5,1,3,4,5,5,3,1,female,1,2,4,give more,5,Other,believe in god,blieving god,5,3,Other,3,3,3,,1,1,4,4,house/bungalow,1,many interests,4,few hours a day,5,5,5,3,3,2,right handed,4,4,very lonely,4,5,only to avoid hurting someone,3,1,4,3,5,5,4,2,5,1,4,Other,4,2,no,1,1,3,5,4,1,1,1,5,1,1,2,i am often running late,3,,2,4,1,4,3,5,4,5,4,5,1,3,3,4,4,1,tried smoking,4,3,1,eat healthy,5,5,3,1,1,1,3,1,4,3,village,4,4,,3,1,1,1
4,3,5,4,19,2,never,3,5,4,2,4,3,2,4,21,blieving god,neutral,neutral,very happy,1,1,2,1,5,2,4,4,5,5,3,5,1,2,3,4,2,2,2,5,3,1,1,1,masters degree,3,4,4,not be social,2,2,4,2,1,4,1,2,3,5,5,5,3,3,female,5,4,4,give less,2,Other,believe in god,blieving god,5,Other,Other,4,2,3,170,2,2,4,1,house/bungalow,1,many interests,4,less than an hour a day,3,5,2,1,4,2,right handed,4,3,Other,3,4,sometimes,2,3,2,4,5,5,2,2,4,1,Other,Other,3,1,no,2,2,3,1,3,4,2,2,4,2,3,1,i am always on time,2,4,2,5,4,2,5,3,3,4,4,4,3,4,4,4,5,5,tried smoking,2,3,2,eat unhealthy,2,2,3,2,3,3,3,2,3,2,village,3,3,53,2,2,4,1
4,1,1,1,21,3,never,1,4,3,3,1,3,5,4,25,blieving god,very lonely,no friends,very happy,3,2,3,3,1,2,4,5,4,4,4,1,3,3,3,1,3,1,5,5,4,Other,3,4,secondary school,3,3,2,not be social,2,3,3,5,5,5,5,5,4,5,3,4,4,2,female,4,2,4,give more,4,4,believe in god,blieving god,4,Other,Other,4,4,5,167,3,1,5,3,house/bungalow,4,few interests,2,less than an hour a day,3,5,3,4,3,1,right handed,4,4,very lonely,4,3,never,3,3,1,4,3,5,2,3,1,1,Other,no friends,2,1,no,3,1,4,2,3,1,4,1,2,5,3,3,i am often early,1,5,1,5,1,4,2,4,1,1,4,1,1,5,4,3,2,2,never smoked,1,1,1,eat unhealthy,2,3,1,2,4,1,4,5,4,2,village,2,1,56,2,3,2,4
3,3,1,3,15,3,never,2,5,4,1,3,4,4,3,26,blieving god,very lonely,no friends,very unhappy,1,3,1,1,5,1,4,1,5,5,1,3,5,4,3,1,1,2,4,4,4,Other,3,2,primary school,1,4,3,not be social,1,4,2,4,1,5,2,1,1,5,2,3,5,1,female,5,2,4,give less,1,4,believe in god,blieving god,4,Other,very unhappy,2,2,2,170,1,2,1,4,house/bungalow,3,few interests,2,most of the day,5,5,5,3,2,2,right handed,4,5,very lonely,5,1,sometimes,4,3,1,4,5,5,1,1,4,1,Other,no friends,1,1,no,1,3,2,2,3,5,1,2,4,4,5,5,i am always on time,5,5,5,4,4,4,2,4,2,4,5,5,4,4,4,2,4,4,tried smoking,3,3,2,eat unhealthy,2,2,5,1,3,1,2,4,4,4,village,3,4,51,1,5,2,1
3,3,2,1,21,3,never,1,3,5,3,4,1,4,1,36,blieving god,neutral,neutral,very happy,,5,3,3,5,1,5,2,5,3,2,3,2,4,3,2,4,2,1,2,4,1,1,3,college/bachelor degree,5,5,2,not be social,2,2,3,3,5,3,3,5,5,4,3,3,3,1,female,1,4,4,give more,5,Other,believe in god,blieving god,5,Other,Other,4,5,4,175,5,4,1,3,house/bungalow,4,many interests,4,most of the day,5,5,5,5,4,1,right handed,5,3,Other,3,1,sometimes,4,1,1,3,5,5,3,3,3,1,Other,Other,3,1,no,1,5,4,4,3,5,1,2,4,3,3,3,i am often early,1,4,5,4,2,3,4,3,2,1,5,2,3,4,5,5,3,1,current smoker,4,4,3,eat healthy,4,5,2,3,1,1,4,3,3,3,village,4,2,75,1,2,3,2
2,2,1,1,,4,never,1,1,3,,5,2,5,2,37,blieving god,not lonely,no friends,very happy,1,3,4,3,2,2,5,4,3,5,2,4,1,3,1,2,5,2,5,4,4,Other,2,2,masters degree,5,5,4,not be social,1,1,3,3,5,5,4,5,3,1,3,2,1,3,female,2,5,5,give more,4,Other,believe in god,blieving god,5,Other,Other,4,5,4,165,4,1,4,1,house/bungalow,2,few interests,2,no time at all,1,5,5,5,1,2,right handed,2,2,Other,2,1,never,3,1,1,2,3,2,2,2,2,1,Other,no friends,2,1,no,3,1,5,1,4,3,3,3,1,4,4,4,i am often early,1,1,3,5,1,5,5,5,2,1,4,2,1,2,2,2,1,2,never smoked,5,2,1,eat healthy,5,2,3,3,1,1,4,5,1,4,village,3,2,67,2,3,4,2
